code,parent_code,level,label_el,label_en
03211600-9,03211000-3,5,Βρώμη,Oats
03211700-0,03211000-3,5,Βύνη,Malt
03211900-2,03211000-3,5,Προϊόντα δημητριακών,Grain products
03212000-0,03210000-6,4,Πατάτες και αφυδατωμένα λαχανικά,Potatoes and dried vegetables
03212100-1,03212000-0,5,Πατάτες,Potatoes
03212200-2,03212000-0,5,Αφυδατωμένα οσπριώδη φυτά και όσπρια,Dried leguminous vegetables and pulses
03212210-5,03212200-2,6,Αφυδατωμένα οσπριώδη φυτά,Dried leguminous vegetables
03212211-2,03212210-5,7,Φακές,Lentils
03212212-9,03212210-5,7,Ρεβίθια,Chick peas
03212213-6,03212210-5,7,Ξηρά μπιζέλια,Dried peas
03212220-8,03212200-2,6,Όσπρια,Pulses
03220000-9,03200000-3,3,"Λαχανικά, φρούτα και ξηροί καρποί","Vegetables, fruits and nuts"
03221000-6,03220000-9,4,Λαχανικά,Vegetables
03221100-7,03221000-6,5,Βολβοειδή και κονδυλώδη λαχανικά,Root and tuber vegetables
03221110-0,03221100-7,6,Βολβοειδή λαχανικά,Root vegetables
03221111-7,03221110-0,7,Ρίζα τεύτλου,Beetroot
03221112-4,03221110-0,7,Καρότα,Carrots
03221113-1,03221110-0,7,Κρεμμύδια,Onions
03221114-8,03221110-0,7,Γογγύλια,Turnips
03221120-3,03221100-7,6,Κονδυλώδη λαχανικά,Tuber vegetables
03221200-8,03221000-6,5,Οπωροκηπευτικά,Fruit vegetables
03221210-1,03221200-8,6,Φασόλια,Beans
03221211-8,03221210-1,7,Κουκιά,Broad beans
03221212-5,03221210-1,7,Φρέσκα φασόλια,Green beans
03221213-2,03221210-1,7,Φασόλια Ισπανίας,Runner beans
03221220-4,03221200-8,6,Αρακάς,Peas
03221221-1,03221220-4,7,Μπιζέλια κήπου,Garden peas
03221222-8,03221220-4,7,Νωπά μπιζέλια,Mange-tout
03221230-7,03221200-8,6,Πιπεριές,Peppers
03221240-0,03221200-8,6,Τομάτες,Tomatoes
03221250-3,03221200-8,6,Κολοκύθια,Courgettes
03221260-6,03221200-8,6,Μανιτάρια,Mushrooms
03221270-9,03221200-8,6,Αγγούρια,Cucumbers
03221300-9,03221000-6,5,Φυλλώδη λαχανικά,Leaf vegetables
03221310-2,03221300-9,6,Μαρούλι,Lettuce
03221320-5,03221300-9,6,Πράσινες σαλάτες,Salad leaves
03221330-8,03221300-9,6,Αγκινάρες,Artichokes
03221340-1,03221300-9,6,Σπανάκι,Spinach
03221400-0,03221000-6,5,Κραμβοειδή λαχανικά,Cabbage vegetables
03221410-3,03221400-0,6,"Λάχανο, κράμβη",Cabbage
03221420-6,03221400-0,6,Κουνουπίδι,Cauliflower
03221430-9,03221400-0,6,Μπρόκολο,Broccoli
03221440-2,03221400-0,6,Λαχανάκια Βρυξελλών,Brussels sprouts
03222000-3,03220000-9,4,Φρούτα και καρποί,Fruit and nuts
03222100-4,03222000-3,5,Τροπικά φρούτα και καρποί,Tropical fruit and nuts
03222110-7,03222100-4,6,Τροπικά φρούτα,Tropical fruit
03222111-4,03222110-7,7,Μπανάνες,Bananas
03222112-1,03222110-7,7,Ανανάδες,Pineapples
03222113-8,03222110-7,7,Μάνγκο,Mangoes
03222114-5,03222110-7,7,Χουρμάδες,Dates
03222115-2,03222110-7,7,Σταφίδες,Raisins
03222116-9,03222110-7,7,Σύκα,Figs
03222117-6,03222110-7,7,Αβοκάντο,Avocados
03222118-3,03222110-7,7,Ακτινίδια,Kiwi fruit
03222120-0,03222100-4,6,Καρύδες,Coconuts
03222200-5,03222000-3,5,Εσπεριδοειδή,Citrus fruit
03222210-8,03222200-5,6,Λεμόνια,Lemons
03222220-1,03222200-5,6,Πορτοκάλια,Oranges
03222230-4,03222200-5,6,Γκρέιπ φρουτ,Grapefruit
03222240-7,03222200-5,6,Μανταρίνια,Tangerines
03222250-0,03222200-5,6,Μοσχολέμονα,Limes
03222300-6,03222000-3,5,Μη τροπικά φρούτα,Non-tropical fruit
03222310-9,03222300-6,6,Μούρα,Berry fruit
03222311-6,03222310-9,7,"Μαύρα, λευκά ή κόκκινα φραγκοστάφυλα",Currants
03222312-3,03222310-9,7,Χαμαίμουρα,Gooseberries
03222313-0,03222310-9,7,Φράουλες,Strawberries
03222314-7,03222310-9,7,Σμέουρα,Raspberries
03222315-4,03222310-9,7,Μύρτιλλα μακρόκαρπα,Cranberries
03222320-2,03222300-6,6,"Μήλα, αχλάδια και κυδώνια","Apples, pears and quinces"
03222321-9,03222320-2,7,Μήλα,Apples
03222322-6,03222320-2,7,Αχλάδια,Pears
03222323-3,03222320-2,7,Κυδώνια,Quinces
03222330-5,03222300-6,6,Εμπύρηνα φρούτα,Stone fruit
03222331-2,03222330-5,7,Βερίκοκα,Apricots
03222332-9,03222330-5,7,Ροδάκινα,Peaches
03222333-6,03222330-5,7,Κεράσια,Cherries
03222334-3,03222330-5,7,Δαμάσκηνα,Plums
03222340-8,03222300-6,6,Σταφύλια,Grapes
03222341-5,03222340-8,7,Επιτραπέζια σταφύλια,Table grapes
03222342-2,03222340-8,7,Κρασοστάφυλα,Wine grapes
03222400-7,03222000-3,5,Ελιές,Olives
03300000-2,03000000-1,2,"Προϊόντα κτηνοτροφίας, θήρας και αλιείας","Farming, hunting and fishing products"
03310000-5,03300000-2,3,"Ψάρια, οστρακοειδή και υδρόβια προϊόντα","Fish, crustaceans and aquatic products"
03311000-2,03310000-5,4,Ψάρια,Fish
03311100-3,03311000-2,5,Πλατύψαρα,Flat fish
03311110-6,03311100-3,6,Γλώσσα,Sole
03311120-9,03311100-3,6,Πησσί,Plaice
03311200-4,03311000-2,5,Ψάρια της οικογένειας του μπακαλιάρου,Fish of the cod family
03311210-7,03311200-4,6,Μπακαλιάρος,Cod
03311220-0,03311200-4,6,Βακαλάος μελανόχρωμος,Pollock
03311230-3,03311200-4,6,Σαυρίδι,Hake
03311240-6,03311200-4,6,Καλλαρίας,Haddock
03311300-5,03311000-2,5,Ρέγγα,Herring
03311400-6,03311000-2,5,Τόνος,Tuna
03311500-7,03311000-2,5,Γάδος,Whiting
03311600-8,03311000-2,5,Μαρίδα,Whitebait
03311700-9,03311000-2,5,Σολωμός,Salmon
03312000-9,03310000-5,4,Καρκινοειδή,Crustaceans
03312100-0,03312000-9,5,Στρείδια,Oysters
03312200-1,03312000-9,5,Οστρακοειδή,Shellfish
03312300-2,03312000-9,5,Υδρόβια ασπόνδυλα,Aquatic invertebrates
03313000-6,03310000-5,4,Υδρόβια προϊόντα,Aquatic products
03313100-7,03313000-6,5,Κοράλλια ή παρόμοια προϊόντα,Corals or similar products
03313200-8,03313000-6,5,Φυσικοί σπόγγοι,Natural sponges
03313300-9,03313000-6,5,Φύκια,Seaweeds
03313310-2,03313300-9,6,Άλγες,Algae
03320000-8,03300000-2,3,"Μεγάλα ζώα, ζωικό κεφάλαιο και μικρά ζώα","Cattle, livestock and small animals"
03321000-5,03320000-8,4,Μεγάλα ζώα,Cattle
03321100-6,03321000-5,5,Βοοειδή,Bovine cattle
03321200-7,03321000-5,5,Μοσχάρια,Calves
03322000-2,03320000-8,4,Ζωικό κεφάλαιο,Livestock
03322100-3,03322000-2,5,Πρόβατα,Sheep
03322200-4,03322000-2,5,Αίγες,Goats
03322300-5,03322000-2,5,Άλογα,Horses
03323000-9,03320000-8,4,Χοιροειδή,Pigs
03324000-6,03320000-8,4,Ζώντα πουλερικά,Live poultry
03325000-3,03320000-8,4,Μικρά ζώα,Small animals
03325100-4,03325000-3,5,Κουνέλια,Rabbits
03325200-5,03325000-3,5,Λαγοί,Hares
03330000-3,03300000-2,3,Προϊόντα ζώων εκτρεφόμενων σε αγροκτήματα,Farm animal products
03331000-0,03330000-3,4,Νωπό γάλα από αιγοπρόβατα,Fresh milk from sheep and goats
03331100-1,03331000-0,5,Πρόβειο γάλα,Sheep's milk
03331200-2,03331000-0,5,Κατσικίσιο γάλα,Goats' milk
03332000-7,03330000-3,4,Έριο και ζωικές τρίχες,Wool and animal hair
03332100-8,03332000-7,5,Κουρεμένο μαλλί,Shorn wool
03332200-9,03332000-7,5,Ζωικές τρίχες,Animal hair
03333000-4,03330000-3,4,Νωπό αγελαδινό γάλα,Fresh cows' milk
03340000-6,03300000-2,3,Ενώτια για το μαρκάρισμα ζώων,Animal ear tags
03341000-3,03340000-6,4,Ενώτια για το μαρκάρισμα βοοειδών,Bovine ear tags
03400000-4,03000000-1,2,Δασοκομικά και υλοτομικά προϊόντα,Forestry and logging products
03410000-7,03400000-4,3,Ξύλο,Wood
03411000-4,03410000-7,4,Ξυλεία από κωνοφόρα δέντρα,Coniferous wood
03412000-1,03410000-7,4,Ξυλεία από τροπικά δέντρα,Tropical wood
03413000-8,03410000-7,4,Καυσόξυλα,Fuel wood
03414000-5,03410000-7,4,Ακατέργαστη ξυλεία,Rough wood
03415000-2,03410000-7,4,Μαλακή ξυλεία,Softwood
03416000-9,03410000-7,4,Απορρίμματα ξύλου,Wood waste
03417000-6,03410000-7,4,Υπολείμματα ξύλου,Scrap wood
03417100-7,03417000-6,5,Πριονίδια,Sawdust
03418000-3,03410000-7,4,Ακατέργαστοι κορμοί,Logs
03418100-4,03418000-3,5,Σκληρή ξυλεία,Hardwood
03419000-0,03410000-7,4,Ξυλεία,Timber
03419100-1,03419000-0,5,Προϊόντα ξυλείας,Timber products
03419200-2,03419000-0,5,Ξυλεία ορυχείων,Mining timber
03420000-0,03400000-4,3,Κόμμεα,Gums
03421000-7,03420000-0,4,Βάλσαμα,Balsams
03422000-4,03420000-0,4,Λάκα,Lac
03430000-3,03400000-4,3,Φελλός,Cork
03431000-0,03430000-3,4,Φυσικός φελλός,Natural cork
03432000-7,03430000-3,4,Καλαθοποιία,Basketware
03432100-8,03432000-7,5,Σπαρτοπλεκτική,Wickerwork
03440000-6,03400000-4,3,Δασοκομικά προϊόντα,Forestry products
03441000-3,03440000-6,4,"Διακοσμητικά φυτά, χορτάρια, βρύα και λειχήνες","Ornamental plants, grasses, mosses or lichens"
03450000-9,03400000-4,3,Προϊόντα φυτωρίων δέντρων,Tree-nursery products
03451000-6,03450000-9,4,Φυτά,Plants
03451100-7,03451000-6,5,Φυτά για φύτευση σε παρτέρια,Bedding plants
03451200-8,03451000-6,5,Βολβοί λουλουδιών,Flower bulbs
03451300-9,03451000-6,5,Θάμνοι,Shrubs
03452000-3,03450000-9,4,Δένδρα,Trees
03460000-2,03400000-4,3,Πολτός,Pulp
03461000-9,03460000-2,4,Ξυλοπολτός,Wood pulp
03461100-0,03461000-9,5,Χημικός ξυλοπολτός,Chemical wood pulp
09000000-3,,1,"Πετρελαϊκά προϊόντα, καύσιμα, ηλεκτρική και άλλες πηγές ενέργειας","Petroleum products, fuel, electricity and other sources of energy"
09100000-0,09000000-3,2,Καύσιμα,Fuels
09110000-3,09100000-0,3,Στερεά καύσιμα,Solid fuels
09111000-0,09110000-3,4,Άνθρακας και καύσιμα με βάση τον άνθρακα,Coal and coal-based fuels
09111100-1,09111000-0,5,Γαιάνθρακας,Coal
09111200-2,09111000-0,5,Καύσιμα με βάση τον άνθρακα,Coal-based fuels
09111210-5,09111200-2,6,Λιθάνθρακας,Hard coal
09111220-8,09111200-2,6,Μπρικέτες,Briquettes
09111300-3,09111000-0,5,Φυσικά καύσιμα,Fossil fuels
09111400-4,09111000-0,5,Καύσιμα με βάση το ξύλο,Wood fuels
09112000-7,09110000-3,4,Λιγνίτης και τύρφη,Lignite and peat
09112100-8,09112000-7,5,Λιγνίτης,Lignite
09112200-9,09112000-7,5,Τύρφη,Peat
09113000-4,09110000-3,4,Οπτάνθρακας,Coke
09120000-6,09100000-0,3,Αέρια καύσιμα,Gaseous fuels
09121000-3,09120000-6,4,"Φωταέριο, αέριο μέσω αγωγών ή παρόμοια αέρια","Coal gas, mains gas or similar gases"
09121100-4,09121000-3,5,Φωταέριο ή παρόμοια αέρια,Coal gas or similar gases
09121200-5,09121000-3,5,Αέριο μέσω αγωγών,Mains gas
09122000-0,09120000-6,4,Προπάνιο και βουτάνιο,Propane and butane
09122100-1,09122000-0,5,Αέριο προπάνιο,Propane gas
09122110-4,09122100-1,6,Υγροποιημένο προπάνιο,Liquefied propane gas
09122200-2,09122000-0,5,Αέριο βουτάνιο,Butane gas
09122210-5,09122200-2,6,Υγροποιημένο βουτάνιο,Liquefied butane gas
09123000-7,09120000-6,4,Φυσικό αέριο,Natural gas
09130000-9,09100000-0,3,Πετρέλαιο και αποστάγματα,Petroleum and distillates
09131000-6,09130000-9,4,Κηροζίνη αεροσκαφών,Aviation kerosene
09131100-7,09131000-6,5,Καύσιμα αεριωθουμένων τύπου κηροζίνης,Kerosene jet type fuels
09132000-3,09130000-9,4,Βενζίνη,Petrol
09132100-4,09132000-3,5,Αμόλυβδη βενζίνη,Unleaded petrol
09132200-5,09132000-3,5,Μολυβδούχος βενζίνη,Leaded petrol
09132300-6,09132000-3,5,Μείγμα βενζίνης με αιθανόλη,Petrol with ethanol
09133000-0,09130000-9,4,Υγροποιημένο αέριο πετρελαίου (υγραέριο),Liquefied Petroleum Gas (LPG)
09134000-7,09130000-9,4,Ακάθαρτο πετρέλαιο,Gas oils
09134100-8,09134000-7,5,Πετρέλαιο ντίζελ,Diesel oil
09134200-9,09134000-7,5,Καύσιμο πετρελαιοκινητήρων ντίζελ,Diesel fuel
09134210-2,09134200-9,6,"Καύσιμα ντίζελ (0,2)","Diesel fuel (0,2)"
09134220-5,09134200-9,6,Καύσιμα ντίζελ (EN 590),Diesel fuel (EN 590)
09134230-8,09134200-9,6,Βιοντίζελ,Biodiesel
09134231-5,09134230-8,7,Βιοντίζελ (B20),Biodiesel (B20)
09134232-2,09134230-8,7,Βιοντίζελ (B100),Biodiesel (B100)
09135000-4,09130000-9,4,Πετρέλαιο εξωτερικής καύσης,Fuel oils
09135100-5,09135000-4,5,Πετρέλαιο θέρμανσης,Heating oil
09135110-8,09135100-5,6,Καύσιμα έλαια μικρής περιεκτικότητας σε θείο,Low-sulphur combustible oils
09200000-1,09000000-3,2,"Πετρέλαιο, άνθρακας και πετρελαιοειδή","Petroleum, coal and oil products"
09210000-4,09200000-1,3,Λιπαντικά παρασκευάσματα,Lubricating preparations
09211000-1,09210000-4,4,Λιπαντικά έλαια και λιπαντικά μέσα,Lubricating oils and lubricating agents
09211100-2,09211000-1,5,Έλαια κινητήρων,Motor oils
09211200-3,09211000-1,5,Λιπαντικά συμπιεστών,Compressor lube oils
09211300-4,09211000-1,5,Λιπαντικά στροβίλων,Turbine lube oils
09211400-5,09211000-1,5,Λιπαντικά κιβωτίων οδοντωτών τροχών,Gear oils
09211500-6,09211000-1,5,Λιπαντικά συστημάτων υποπολλαπλασιασμού,Reductor oils
09211600-7,09211000-1,5,Λιπαντικά υδραυλικών συστημάτων και άλλων χρήσεων,Oils for use in hydraulic systems and other purposes
09211610-0,09211600-7,6,Υγρά υδραυλικών συστημάτων,Liquids for hydraulic purposes
09211620-3,09211600-7,6,Λιπαντικά αφαίρεσης καλουπιών,Mould release oils
09211630-6,09211600-7,6,Αντιδιαβρωτικά έλαια,Anti-corrosion oils
09211640-9,09211600-7,6,Ηλεκτρομονωτικά έλαια,Electrical insulating oils
09211650-2,09211600-7,6,Υγρά φρένων,Brake fluids
09211700-8,09211000-1,5,Λευκά έλαια και παραφινέλαια,White oils and liquid paraffin
09211710-1,09211700-8,6,Λευκά έλαια,White oils
09211720-4,09211700-8,6,Παραφινέλαια,Liquid paraffin
09211800-9,09211000-1,5,Πετρελαϊκά έλαια και παρασκευάσματα,Petroleum oils and preparations
09211810-2,09211800-9,6,Ελαφρά έλαια,Light oils
09211820-5,09211800-9,6,Ορυκτέλαια,Petroleum oils
09211900-0,09211000-1,5,Λιπαντικά έλαια συστημάτων έλξης,Lubricating traction oils
09220000-7,09200000-1,3,"Βαζελίνη, κεριά και ειδικά αποστάγματα","Petroleum jelly, waxes and special spirits"
09221000-4,09220000-7,4,Βαζελίνη και κηροί πετρελαίου,Petroleum jelly and waxes
09221100-5,09221000-4,5,Βαζελίνη,Petroleum jelly
09221200-6,09221000-4,5,Κηρός παραφίνης,Paraffin wax
09221300-7,09221000-4,5,Κηρός πετρελαίου,Petroleum wax
09221400-8,09221000-4,5,Κατάλοιπα πετρελαίου,Petroleum residues
09222000-1,09220000-7,4,Ειδικά αποστάγματα,Special spirits
09222100-2,09222000-1,5,Πετρελαϊκός αιθέρας (White spirit),White spirit
09230000-0,09200000-1,3,Πετρέλαιο (αργό),Petroleum (crude)
09240000-3,09200000-1,3,Πετρελαϊκά προϊόντα και προϊόντα άνθρακα,Oil and coal-related products
09241000-0,09240000-3,4,Ασφαλτούχο ή σχιστολιθικό ορυκτέλαιο,Bituminous or oil shale
09242000-7,09240000-3,4,Προϊόντα με βάση τον άνθρακα,Coal-related products
09242100-8,09242000-7,5,Πετρέλαιο από απόσταξη πισσανθράκων,Coal oil
09300000-2,09000000-3,2,"Ηλεκτρική, θερμαντική, ηλιακή και πυρηνική ενέργεια","Electricity, heating, solar and nuclear energy"
09310000-5,09300000-2,3,Ηλεκτρισμός,Electricity
09320000-8,09300000-2,3,"Ατμός, θερμό νερό και συναφή προϊόντα","Steam, hot water and associated products"
09321000-5,09320000-8,4,Θερμό νερό,Hot water
09322000-2,09320000-8,4,Ατμός,Steam
09323000-9,09320000-8,4,Κεντρική αστική θέρμανση,District heating
09324000-6,09320000-8,4,Τηλεθέρμανση,Long-distance heating
09330000-1,09300000-2,3,Ηλιακή ενέργεια,Solar energy
09331000-8,09330000-1,4,Ηλιακά κάτοπτρα,Solar panels
09331100-9,09331000-8,5,Ηλιακοί συλλέκττες για την παραγωγή θερμότητας,Solar collectors for heat production
09331200-0,09331000-8,5,Ηλιακά φωτοβολταϊκά στοιχεία,Solar photovoltaic modules
09332000-5,09330000-1,4,Ηλιακές εγκαταστάσεις,Solar installation
09340000-4,09300000-2,3,Πυρηνικά καύσιμα,Nuclear fuels
09341000-1,09340000-4,4,Ουράνιο,Uranium
09342000-8,09340000-4,4,Πλουτώνιο,Plutonium
09343000-5,09340000-4,4,Ραδιενεργά υλικά,Radioactive materials
09344000-2,09340000-4,4,Ραδιοϊσότοπα,Radio-isotopes
14000000-1,,1,"Εξορυκτικά προϊόντα, βασικά μέταλλα και συναφή προϊόντα","Mining, basic metals and related products"
14200000-3,14000000-1,2,Άμμος και άργιλος,Sand and clay
14210000-6,14200000-3,3,"Αμμοχάλικο, άμμος, λιθοτρίμματα και αδρανή υλικά","Gravel, sand, crushed stone and aggregates"
14211000-3,14210000-6,4,Άμμος,Sand
14211100-4,14211000-3,5,Φυσική άμμος,Natural sand
14212000-0,14210000-6,4,"Άμμος, λιθόκοκκοι, χαλίκι, λιθοτρίμματα και λιθόσκονη, κροκάλες, αμμοχάλικο, τεμαχισμένοι ή θρυμματισμένοι λίθοι, μείγματα αμμοχάλικου και άλλα αδρανή υλικά","Granules, chippings, stone powder, pebbles, gravel, broken and crushed stone, stone mixtures, sand-gravel mixtures and other aggregates"
14212100-1,14212000-0,5,Κροκάλες και αμμοχάλικο,Pebbles and gravel
14212110-4,14212100-1,6,Αμμοχάλικο,Pebbles
14212120-7,14212100-1,6,Κροκάλες,Gravel
14212200-2,14212000-0,5,Αδρανή υλικά,Aggregates
14212210-5,14212200-2,6,Μείγμα αμμοχάλικου,Sand-gravel mix
14212300-3,14212000-0,5,Τεμαχισμένοι και θρυμματισμένοι λίθοι,Broken and crushed stone
14212310-6,14212300-3,6,Έρμα,Ballast
14212320-9,14212300-3,6,Θρυμματισμένος γρανίτης,Crushed granite
14212330-2,14212300-3,6,Θρυμματισμένος βασάλτης,Crushed basalt
14212400-4,14212000-0,5,Χώμα,Soil
14212410-7,14212400-4,6,Χώμα επιφανείας,Topsoil
14212420-0,14212400-4,6,Υπέδαφος,Subsoil
14212430-3,14212400-4,6,Θρυμματισμένοι λίθοι,Stone chippings
14213000-7,14210000-6,4,"Σκυρόστρωμα, πισσοσκυρόστρωμα και αμμώδης ασφαλτική επίστρωση","Macadam, tarmac and tar sands"
14213100-8,14213000-7,5,Σκυρόστρωμα,Macadam
14213200-9,14213000-7,5,Πισσοσκυρόστρωμα,Tarmac
14213300-0,14213000-7,5,Άμμος εμποτισμένη με πίσσα,Tar sands
14220000-9,14200000-3,3,Άργιλος και καολίνη,Clay and kaolin
14221000-6,14220000-9,4,Άργιλος,Clay
14222000-3,14220000-9,4,Καολίνη,Kaolin
14300000-4,14000000-1,2,Χημικά και ορυκτά λιπάσματα,Chemical and fertiliser minerals
14310000-7,14300000-4,3,Ορυκτά λιπάσματα,Fertiliser minerals
14311000-4,14310000-7,4,"Φυσικό ασβέστιο, φωσφορικό αργίλιο-ασβέστιο και άλλα φυσικά ακατέργαστα άλατα καλίου","Natural calcium, aluminium calcium phosphate and crude natural potassium salts"
14311100-5,14311000-4,5,Φυσικό ασβέστιο,Natural calcium
14311200-6,14311000-4,5,Φωσφορικά άλατα αργιλίου-ασβεστίου,Aluminium calcium phosphates
14311300-7,14311000-4,5,Φυσικά ακατέργαστα άλατα του καλίου,Crude natural potassium salts
14312000-1,14310000-7,4,Σιδηροπυρίτες,Iron pyrites
14312100-2,14312000-1,5,Άφρυκτοι σιδηροπυρίτες,Unroasted iron pyrites
14320000-0,14300000-4,3,Χημικά ορυκτά,Chemical minerals
14400000-5,14000000-1,2,Αλάτι και καθαρό χλωριούχο νάτριο,Salt and pure sodium chloride
14410000-8,14400000-5,3,Ορυκτό αλάτι,Rock salt
14420000-1,14400000-5,3,Θαλασσινό αλάτι,Sea salt
14430000-4,14400000-5,3,Αλάτι προερχόμενο από εξάτμιση και καθαρό χλωριούχο νάτριο,Evaporated salt and pure sodium chloride
14450000-0,14400000-5,3,Άλμη,Salt in brine
14500000-6,14000000-1,2,Προϊόντα ορυχείων και λατομείων,Related mining and quarrying products
14520000-2,14500000-6,3,Πολύτιμοι και ημιπολύτιμοι λίθοι· κισηρόλιθοι· σμύριδα· φυσικά λειαντικά· άλλα ορυκτά και πολύτιμα μέταλλα,"Precious and semi-precious stones, pumice stone, emery, natural abrasives, other minerals and precious metals"
